,code,product_name
699,14854,zemar pędzle szkolne szt
700,14855,zemar pędzle szt
701,14870,zemar naklejka na zeszyt zwykła
702,1001575,okładka na zeszyt a a 
703,1081,gumka do mazania mf
704,8011,plan lekcji bambimo
705,10463,długopis nożyczki
706,10503,temperówka metal
707,10464,długopis czerw bp
708,11267,długopis kompl
709,3865,koperta szt
710,11234,balon
711,11337,papier kancelaryjny linie
712,15220,koperty mini
713,18499,herbata z automatu
714,149,sklep polski torba zrywka 
715,11728,słoik l
716,14083,sloik l
717,14084,sloik l
718,14085,sloik l
719,14087,sloik to 
720,14088,sloik to 
721,14089,sloik l
722,14179,sloik l
723,14181,sloik l
724,14191,butla do wina w koszu l
725,15256,ags przykrywka szklana wecka
726,11147,wazon
727,13064,zestaw obiadowy
728,5294,agc tortownica szklana obrotowa aneks
729,14902,słoik l szt
730,14907,słoik to cedrus szt
731,15065,słoik ml
732,15066,słoik l
733,17073,słoik l
734,17074,słoik l
735,17075,słoik l
736,21749,zemar kieliszki ml pakowane po szt
737,17025,kieliszek do wódki szt
738,3385,zakrętka z biała
739,13460,emalia garnek emaliowany prosty rubinka z p cm l 
740,13461,emalia garnek emaliowany prosty rubinka z p cm l 
741,13462,emalia garnek emaliowany prosty rubinka z p cm l 
742,13463,emalia garnek emaliowany prosty rubinka z p cm l 
743,13464,emalia kubek emaliowany prosty rubinka cm ml 
744,13465,emalia rondel emaliowany prosty rubinka b p cm l 
745,13466,emalia garnek emaliowany pyza wege z p cm l 
746,13467,emalia garnek emaliowany pyza wege z p cm l 
747,13468,emalia rondel emaliowany pyza wege b p cm l 
748,14065,galicja kpl garnkow kg
749,14070,galicja miska l sitko artura zilona 
750,16187,koszt technica pojemni gn mm ze stali nierdzenej
751,10653,koszyk z białej wikliny ozdoby
752,10654,koszyk z łuby kolor
753,10657,klamerki drewno majka a
754,16071,bis diodowy krzyż biały zim tylko pełne
755,16397,butla gazowa pusta
756,14063,opaska odblaskowa
757,17068,zakrętki ml
758,17069,zakrętki ml ml
759,17070,zakrętki ml
760,403,opakowanie próżniowe szt
761,14438,opakowanie wiaderko
762,12079,kartonik do ciasta
763,16191,koszt ekopack opakowanie do kurczaka szt
764,16192,koszt ekopack opakowania do kurczaka cały szt
765,3988,pojemnik na zupę ml
766,6345,kubek jednorazow szt
767,10333,kawa kubek na wynos
768,12102,nóż i widelec plastikowy grill
769,12104,kieliszki plastikowe szt
770,14073,patera aluminiowa op szt duza
771,14086,tacki serdnia gastronomia szt
772,14271,kubek pap biały ml szt
773,17606,zestaw party
